Date,Price
5/8/2019,"1,674.60"
2/8/2019,"1,686.40"
1/8/2019,"1,652.30"
31/07/2019,"1,644.20"
30/07/2019,"1,652.90"
29/07/2019,"1,643.70"
26/07/2019,"1,658.50"
25/07/2019,"1,662.70"
24/07/2019,"1,661.80"
23/07/2019,"1,649.60"
22/07/2019,"1,635.50"
19/07/2019,"1,658.30"
18/07/2019,"1,655.10"
17/07/2019,"1,654.40"
16/07/2019,"1,658.90"
15/07/2019,"1,646.30"
12/7/2019,"1,668.30"
11/7/2019,"1,680.00"
10/7/2019,"1,676.60"
9/7/2019,"1,672.90"
8/7/2019,"1,671.70"
5/7/2019,"1,712.40"
4/7/2019,"1,680.40"
3/7/2019,"1,661.40"
2/7/2019,"1,629.90"
1/7/2019,"1,623.20"
28/06/2019,"1,604.80"
27/06/2019,"1,626.30"
26/06/2019,"1,662.80"
25/06/2019,"1,676.80"
24/06/2019,"1,665.80"
21/06/2019,"1,643.40"
20/06/2019,"1,643.50"
19/06/2019,"1,642.90"
18/06/2019,"1,645.10"
17/06/2019,"1,619.40"
14/06/2019,"1,633.80"
13/06/2019,"1,630.40"
12/6/2019,"1,623.50"
11/6/2019,"1,634.90"
7/6/2019,"1,620.10"
6/6/2019,"1,602.10"
5/6/2019,"1,567.40"
4/6/2019,"1,589.20"
3/6/2019,"1,575.80"
31/05/2019,"1,564.70"
30/05/2019,"1,557.50"
29/05/2019,"1,587.10"
28/05/2019,"1,604.20"
27/05/2019,"1,608.00"
24/05/2019,"1,610.30"
23/05/2019,"1,608.20"
22/05/2019,"1,593.90"
21/05/2019,"1,596.20"
20/05/2019,"1,571.40"
17/05/2019,"1,567.10"
16/05/2019,"1,556.00"
15/05/2019,"1,537.90"
14/05/2019,"1,536.70"
13/05/2019,"1,543.30"
10/5/2019,"1,521.00"
9/5/2019,"1,513.60"
8/5/2019,"1,505.60"
7/5/2019,"1,507.10"
6/5/2019,"1,508.40"
3/5/2019,"1,510.60"
2/5/2019,"1,517.90"
